n	question	command	r2cmd	explanation
1	How can I execute a command only if the previous command was successful?	execute command on success	The command `?! [cmd]` allows you to run another command if the last command executed successfully, indicated by a return code of 0.	?! [cmd]
2	How do I calculate the result of a math expression like `eip-0x804800`?	calculate math expression	The command `? eip-0x804800` evaluates the math expression and shows all possible representations of the result.	? eip-0x804800
3	Where can I find help about using single quotes in commands?	help for single quotes	The command `?'` provides help related to the usage of single quotes in commands, explaining how to avoid evaluating special characters.	?'
4	How can I view all the current variable values?	view variable values	The command `?$` displays the values of all variables currently set in the session.	?$
5	Is there a way to run a command only if the last result was positive?	run command on positive result	The command `?+ [cmd]` allows you to run another command if the previous result was greater than 0.	?+ [cmd]
6	How can I execute a command if the last result was negative?	execute command on negative result	The command `?- [cmd]` runs another command if the previous result was less than 0.	?- [cmd]
7	How do I update the return code with the result of a math operation?	update return code with math result	The command `?= eip-0x804800` updates the return code with the result of the specified operation.	?= eip-0x804800
8	How can I compare two strings, like checking if 'x86' equals the architecture setting?	compare two strings	The command `?== x86 \`e asm.arch\`` performs a string comparison between 'x86' and the result of the command `e asm.arch`.	?== x86 `e asm.arch`
9	How can I run a command only if the last operation was not successful?	run command on failure	The command `?? [cmd]` executes another command if the last operation did not return 0, indicating a failure or non-zero result.	?? [cmd]
10	What command shows the result of the last operation?	show last operation result	The command `??` displays the value of the last operation performed.	??
11	How can I display an ASCII table?	display ASCII table	The command `?a` shows the ASCII table, which includes character representations and their corresponding numerical values.	?a
12	How do I determine the range boundaries for a given element?	determine range boundaries	The command `?B [elem]` displays range boundaries similar to the search.in setting, useful for understanding element limits.	?B [elem]
13	How can I find the binary representation of a number?	find binary representation	The command `?b [num]` converts a given number into its binary form.	?b [num]
14	How do I encode a string in base64?	encode string in base64	The command `?b64 [str]` encodes the provided string into base64 format.	?b64 [str]
15	How can I decode a base64 string?	decode base64 string	The command `?b64- [str]` decodes a base64 encoded string back to its original form.	?b64- [str]
